"Município";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"6 a 8 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"9 a 19 anos";" Total"
"220005 ACAUA";"53";"61";"14";"55";"22";"6";"7";"0";"1006";"860";"25";"18";"334";"0";"0";"0";"0";"75";"19";"232";"112";"22";"9";"1";"0";"0";"1";"0";"2";"53";"2";"12";"137";"0";"0";"7";"0";"0";"1";"0";"67";"0";"0";"1";"1";"0";"6";"119";"7";"78";"0";"0";"0";"117";"69";"62";"84";"92";"0";"124";"115";"9";"13";"6";"142";"7";"4";"0";"2";"224";"640";"9";"5144"
"220010 AGRICOLANDIA";"4";"60";"5";"45";"17";"3";"0";"0";"710";"462";"28";"4";"339";"1";"0";"0";"0";"50";"37";"97";"43";"18";"14";"2";"0";"0";"0";"0";"0";"0";"7";"6";"26";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"17";"0";"15";"8";"8";"33";"40";"0";"0";"0";"63";"8";"11";"7";"6";"0";"5";"11";"0";"4";"0";"31";"0";"0";"0";"0";"100";"150";"0";"2512"
"220020 AGUA BRANCA";"195";"220";"41";"166";"70";"24";"13";"1";"3211";"2370";"197";"65";"632";"11";"0";"0";"0";"97";"45";"171";"148";"98";"56";"6";"2";"0";"0";"0";"0";"2";"18";"36";"21";"0";"0";"34";"0";"1";"6";"0";"33";"2";"0";"25";"4";"41";"100";"134";"55";"185";"29";"0";"3";"196";"70";"75";"56";"49";"0";"37";"90";"2";"55";"0";"110";"1";"0";"0";"10";"524";"780";"2";"10625"
"220025 ALAGOINHA DO PIAUI";"18";"90";"15";"93";"4";"7";"1";"0";"1152";"677";"9";"2";"302";"0";"0";"0";"0";"56";"10";"150";"74";"18";"11";"2";"0";"0";"0";"0";"0";"0";"0";"1";"80";"0";"0";"5";"0";"1";"0";"0";"8";"0";"0";"3";"0";"8";"2";"24";"13";"36";"5";"0";"0";"41";"13";"10";"10";"7";"0";"3";"8";"0";"15";"0";"53";"0";"0";"0";"0";"146";"161";"0";"3344"
"220027 ALEGRETE DO PIAUI";"18";"49";"2";"42";"15";"3";"3";"1";"691";"447";"2";"8";"277";"0";"1";"0";"0";"113";"43";"90";"54";"6";"3";"2";"0";"0";"0";"0";"0";"0";"5";"2";"138";"0";"0";"1";"0";"0";"1";"0";"26";"0";"0";"8";"0";"15";"16";"176";"13";"81";"7";"2";"1";"101";"3";"37";"10";"2";"0";"2";"31";"0";"7";"0";"21";"0";"0";"0";"0";"100";"274";"0";"2950"
"220030 ALTO LONGA";"16";"99";"25";"93";"26";"19";"4";"2";"1625";"1095";"82";"30";"470";"1";"1";"0";"0";"80";"44";"189";"159";"35";"37";"4";"0";"0";"0";"0";"0";"1";"14";"2";"27";"0";"0";"70";"0";"1";"0";"0";"28";"0";"0";"77";"0";"81";"48";"33";"97";"190";"0";"1";"1";"208";"159";"12";"164";"144";"0";"94";"24";"0";"9";"0";"88";"0";"0";"0";"4";"292";"352";"6";"6363"
"220040 ALTOS";"130";"480";"55";"311";"136";"62";"17";"1";"5864";"4999";"507";"143";"1924";"4";"0";"0";"0";"323";"298";"422";"248";"113";"25";"0";"0";"0";"0";"0";"0";"13";"37";"25";"170";"0";"0";"45";"0";"0";"0";"0";"23";"0";"0";"11";"0";"16";"92";"71";"11";"218";"2";"0";"1";"250";"86";"114";"82";"50";"0";"48";"31";"2";"20";"1";"72";"0";"0";"0";"10";"848";"803";"47";"19261"
"220045 ALVORADA DO GURGUEIA";"0";"14";"1";"23";"4";"3";"0";"0";"247";"286";"2";"0";"119";"0";"0";"0";"0";"21";"6";"29";"16";"11";"2";"0";"0";"0";"0";"0";"0";"11";"0";"4";"2";"0";"0";"8";"0";"0";"0";"0";"0";"3";"0";"14";"0";"26";"14";"2";"19";"14";"0";"0";"0";"9";"0";"11";"0";"0";"0";"0";"3";"6";"0";"4";"6";"6";"0";"0";"0";"66";"52";"6";"1070"
"220050 AMARANTE";"139";"167";"41";"162";"76";"18";"6";"6";"3018";"1963";"150";"82";"728";"4";"0";"0";"0";"101";"96";"148";"184";"81";"22";"8";"0";"0";"0";"0";"0";"24";"30";"7";"93";"2";"0";"153";"0";"1";"1";"0";"44";"8";"0";"92";"1";"100";"150";"145";"100";"273";"8";"1";"4";"252";"76";"41";"59";"58";"0";"50";"343";"1";"30";"0";"208";"0";"0";"0";"10";"434";"592";"16";"10607"
"220060 ANGICAL DO PIAUI";"13";"80";"7";"83";"13";"3";"4";"2";"1050";"700";"47";"16";"350";"0";"0";"0";"0";"53";"21";"128";"83";"46";"24";"4";"0";"0";"0";"0";"0";"8";"8";"1";"7";"0";"0";"22";"0";"0";"0";"0";"0";"0";"0";"44";"0";"52";"38";"78";"84";"79";"5";"0";"0";"81";"30";"13";"39";"28";"0";"35";"58";"6";"8";"3";"191";"4";"5";"0";"0";"240";"261";"4";"4159"
